workerid,proliferate.condition,anagram,category,id,interactions,internal_node_id,response,rt,set,setRun,stimulus,subject,time_elapsed,trial_index,trial_type,view_history,error
354,SetB3,,,,,0.0-0.0,,337019.0,,,,999,337026,0,instructions,"[{'page_index': 0, 'viewing_time': 11539}, {'page_index': 1, 'viewing_time': 164000}, {'page_index': 2, 'viewing_time': 19330}, {'page_index': 3, 'viewing_time': 9384}, {'page_index': 4, 'viewing_time': 81638}, {'page_index': 5, 'viewing_time': 51128}]",
354,SetB3,,consent,,,0.0-1.0,0,1709.0,,,"<p>By pressing continue below, I understand that I am consenting to participation in this research.</p>",999,338736,1,html-button-response,,
354,SetB3,,,,,0.0-2.0,,17353.0,,,,999,356091,2,instructions,"[{'page_index': 0, 'viewing_time': 2661}, {'page_index': 1, 'viewing_time': 1785}, {'page_index': 2, 'viewing_time': 2046}, {'page_index': 3, 'viewing_time': 3258}, {'page_index': 4, 'viewing_time': 2617}, {'page_index': 5, 'viewing_time': 3660}, {'page_index': 6, 'viewing_time': 1326}]",
354,SetB3,rapctiec,,practice,,0.0-3.0,practice,7974.0,practice,practice,,999,364065,3,gram,,
354,SetB3,,,,,0.0-4.0,,53485.0,,,,999,417550,4,instructions,"[{'page_index': 0, 'viewing_time': 1876}, {'page_index': 1, 'viewing_time': 50337}, {'page_index': 2, 'viewing_time': 1272}]",
354,SetB3,tsaet,,175,,0.0-5.0-0.0,taste,6757.0,SetB,SetB3,,999,424309,5,gram,,
354,SetB3,ecagrh,,101,,0.0-5.0-0.1,greach,192029.0,SetB,SetB3,,999,616339,6,gram,,
354,SetB3,inlpec,,161,,0.0-5.0-0.2,pencil,20332.0,SetB,SetB3,,999,636670,7,gram,,
354,SetB3,yyrale,,095,,0.0-5.0-0.3,yearly,11192.0,SetB,SetB3,,999,647863,8,gram,,
354,SetB3,nderu,,157,,0.0-5.0-0.4,under,67475.0,SetB,SetB3,,999,715340,9,gram,,
354,SetB3,oyugn,,097,,0.0-5.0-0.5,young,101072.0,SetB,SetB3,,999,816412,10,gram,,
354,SetB3,wrdol,,178,,0.0-5.0-0.6,world,6421.0,SetB,SetB3,,999,822833,11,gram,,
354,SetB3,erad,,167,,0.0-5.0-0.7,read,2453.0,SetB,SetB3,,999,825286,12,gram,,
354,SetB3,ekpe,,148,,0.0-5.0-0.8,peek,3824.0,SetB,SetB3,,999,829112,13,gram,,
354,SetB3,lalc,,110,,0.0-5.0-0.9,call,4992.0,SetB,SetB3,,999,834104,14,gram,,
354,SetB3,ruesp,,120,,0.0-5.0-0.10,super,119153.0,SetB,SetB3,,999,953260,15,gram,,
354,SetB3,iuteq,,153,,0.0-5.0-0.11,quite,9537.0,SetB,SetB3,,999,962797,16,gram,,
354,SetB3,gener,,144,,0.0-5.0-0.12,green,18006.0,SetB,SetB3,,999,980804,17,gram,,
354,SetB3,twire,,096,,0.0-5.0-0.13,write,13312.0,SetB,SetB3,,999,994116,18,gram,,
354,SetB3,meltep,,158,,0.0-5.0-0.14,temple,111403.0,SetB,SetB3,,999,1105520,19,gram,,
354,SetB3,jniruy,,129,,0.0-5.0-0.15,injury,5132.0,SetB,SetB3,,999,1110654,20,gram,,
354,SetB3,lneeed,,138,,0.0-5.0-0.16,indeed,4905.0,SetB,SetB3,,999,1115559,21,gram,,
354,SetB3,paly,,133,,0.0-5.0-0.17,play,6620.0,SetB,SetB3,,999,1122180,22,gram,,
354,SetB3,vnisoi,,123,,0.0-5.0-0.18,vision,3951.0,SetB,SetB3,,999,1126131,23,gram,,
354,SetB3,sdnat,,169,,0.0-5.0-0.19,stand,29765.0,SetB,SetB3,,999,1155897,24,gram,,
354,SetB3,ripeem,,092,,0.0-5.0-0.20,premie,193113.0,SetB,SetB3,,999,1349010,25,gram,,
354,SetB3,habcrn,,165,,0.0-5.0-0.21,branch,312285.0,SetB,SetB3,,999,1661295,26,gram,,
354,SetB3,niel,,109,,0.0-5.0-0.22,line,4060.0,SetB,SetB3,,999,1665356,27,gram,,
354,SetB3,enxt,,177,,0.0-5.0-0.23,next,17078.0,SetB,SetB3,,999,1682435,28,gram,,
354,SetB3,uspl,,162,,0.0-5.0-0.24,plus,3477.0,SetB,SetB3,,999,1685913,29,gram,,
354,SetB3,wteall,,099,,0.0-5.0-0.25,wallet,102225.0,SetB,SetB3,,999,1788138,30,gram,,
354,SetB3,agpe,,132,,0.0-5.0-0.26,gape,3965.0,SetB,SetB3,,999,1792103,31,gram,,
354,SetB3,ewrhe,,128,,0.0-5.0-0.27,where,6864.0,SetB,SetB3,,999,1798968,32,gram,,
354,SetB3,anlxie,,136,,0.0-5.0-0.28,lanxie,245496.0,SetB,SetB3,,999,2044465,33,gram,,
354,SetB3,ecfa,,106,,0.0-5.0-0.29,face,3370.0,SetB,SetB3,,999,2047836,34,gram,,
354,SetB3,,resting,,,0.0-6.0,0,84920.0,,,<p>Great job! You have completed the first block of trials.</p><p>Take a short break before continuing to the next block.</p>,999,2132758,35,html-button-response,,
354,SetB3,atsy,,164,,0.0-7.0-0.0,stay,10680.0,SetB,SetB3,,999,2143438,36,gram,,
354,SetB3,leiv,,107,,0.0-7.0-0.1,veil,15871.0,SetB,SetB3,,999,2159310,37,gram,,
354,SetB3,kuicq,,130,,0.0-7.0-0.2,quick,5938.0,SetB,SetB3,,999,2165248,38,gram,,
354,SetB3,aretw,,174,,0.0-7.0-0.3,water,83010.0,SetB,SetB3,,999,2248257,39,gram,,
354,SetB3,tpra,,142,,0.0-7.0-0.4,trap,6548.0,SetB,SetB3,,999,2254806,40,gram,,
354,SetB3,hgtir,,168,,0.0-7.0-0.5,right,10234.0,SetB,SetB3,,999,2265040,41,gram,,
354,SetB3,faodfr,,093,,0.0-7.0-0.6,afford,186956.0,SetB,SetB3,,999,2451996,42,gram,,
354,SetB3,brorha,,100,,0.0-7.0-0.7,harbor,151823.0,SetB,SetB3,,999,2603819,43,gram,,
354,SetB3,ofcife,,103,,0.0-7.0-0.8,office,4689.0,SetB,SetB3,,999,2608509,44,gram,,
354,SetB3,hoest,,163,,0.0-7.0-0.9,those,25027.0,SetB,SetB3,,999,2633537,45,gram,,
354,SetB3,uqiet,,155,,0.0-7.0-0.10,quiet,10063.0,SetB,SetB3,,999,2643601,46,gram,,
354,SetB3,weset,,125,,0.0-7.0-0.11,sweet,68277.0,SetB,SetB3,,999,2711878,47,gram,,
354,SetB3,ehwti,,117,,0.0-7.0-0.12,white,11558.0,SetB,SetB3,,999,2723437,48,gram,,
354,SetB3,srue,,159,,0.0-7.0-0.13,sure,2788.0,SetB,SetB3,,999,2726225,49,gram,,
354,SetB3,lissof,,141,,0.0-7.0-0.14,fossil,8162.0,SetB,SetB3,,999,2734388,50,gram,,
354,SetB3,mrtpio,,139,,0.0-7.0-0.15,import,74381.0,SetB,SetB3,,999,2808768,51,gram,,
354,SetB3,tnigh,,171,,0.0-7.0-0.16,night,4821.0,SetB,SetB3,,999,2813590,52,gram,,
354,SetB3,ielhw,,112,,0.0-7.0-0.17,while,6553.0,SetB,SetB3,,999,2820144,53,gram,,
354,SetB3,wihhc,,119,,0.0-7.0-0.18,which,4266.0,SetB,SetB3,,999,2824412,54,gram,,
354,SetB3,eelf,,137,,0.0-7.0-0.19,flee,6262.0,SetB,SetB3,,999,2830674,55,gram,,
354,SetB3,esonra,,180,,0.0-7.0-0.20,reason,10380.0,SetB,SetB3,,999,2841055,56,gram,,
354,SetB3,rnut,,122,,0.0-7.0-0.21,turnj,6857.0,SetB,SetB3,,999,2847912,57,gram,,
354,SetB3,dnee,,170,,0.0-7.0-0.22,need,4582.0,SetB,SetB3,,999,2852494,58,gram,,
354,SetB3,yotsr,,147,,0.0-7.0-0.23,story,6840.0,SetB,SetB3,,999,2859336,59,gram,,
354,SetB3,yict,,150,,0.0-7.0-0.24,city,11733.0,SetB,SetB3,,999,2871069,60,gram,,
354,SetB3,eflt,,118,,0.0-7.0-0.25,left,4656.0,SetB,SetB3,,999,2875725,61,gram,,
354,SetB3,atkl,,127,,0.0-7.0-0.26,talk,14990.0,SetB,SetB3,,999,2890717,62,gram,,
354,SetB3,htigl,,098,,0.0-7.0-0.27,light,13594.0,SetB,SetB3,,999,2904311,63,gram,,
354,SetB3,vome,,121,,0.0-7.0-0.28,move,3573.0,SetB,SetB3,,999,2907886,64,gram,,
354,SetB3,ocdiaz,,152,,0.0-7.0-0.29,zodiac,110329.0,SetB,SetB3,,999,3018215,65,gram,,
354,SetB3,,resting,,,0.0-8.0,0,211111.0,,,<p>Great job! You have completed the second block of trials.</p><p>Take a short break before continuing to the final block.</p>,999,3229327,66,html-button-response,,
354,SetB3,evuqri,,149,,0.0-9.0-0.0,quiver,8927.0,SetB,SetB3,,999,3238254,67,gram,,
354,SetB3,tfhrea,,105,,0.0-9.0-0.1,father,116343.0,SetB,SetB3,,999,3354598,68,gram,,
354,SetB3,altpop,,166,,0.0-9.0-0.2,laptop,33045.0,SetB,SetB3,,999,3387644,69,gram,,
354,SetB3,dgrnae,,143,,0.0-9.0-0.3,garden,172353.0,SetB,SetB3,,999,3559999,70,gram,,
354,SetB3,higts,,104,,0.0-9.0-0.4,sight,14416.0,SetB,SetB3,,999,3574415,71,gram,,
354,SetB3,phel,,113,,0.0-9.0-0.5,help,5837.0,SetB,SetB3,,999,3580252,72,gram,,
354,SetB3,emse,,124,,0.0-9.0-0.6,seem,2525.0,SetB,SetB3,,999,3582778,73,gram,,
354,SetB3,elvo,,111,,0.0-9.0-0.7,love,74490.0,SetB,SetB3,,999,3657269,74,gram,,
354,SetB3,odlwu,,114,,0.0-9.0-0.8,would,85567.0,SetB,SetB3,,999,3742836,75,gram,,
354,SetB3,eevn,,102,,0.0-9.0-0.9,even,8102.0,SetB,SetB3,,999,3750940,76,gram,,
354,SetB3,mihgt,,108,,0.0-9.0-0.10,might,12143.0,SetB,SetB3,,999,3763084,77,gram,,
354,SetB3,rngay,,179,,0.0-9.0-0.11,angry,70351.0,SetB,SetB3,,999,3833435,78,gram,,
354,SetB3,dptuae,,140,,0.0-9.0-0.12,daptua,199471.0,SetB,SetB3,,999,4032908,79,gram,,
354,SetB3,rdah,,154,,0.0-9.0-0.13,hard,3589.0,SetB,SetB3,,999,4036497,80,gram,,
354,SetB3,nowbr,,151,,0.0-9.0-0.14,brown,3354.0,SetB,SetB3,,999,4039851,81,gram,,
354,SetB3,hmerma,,172,,0.0-9.0-0.15,hammer,13991.0,SetB,SetB3,,999,4053843,82,gram,,
354,SetB3,aecrl,,145,,0.0-9.0-0.16,larce,89794.0,SetB,SetB3,,999,4143638,83,gram,,
354,SetB3,psto,,135,,0.0-9.0-0.17,stop,3819.0,SetB,SetB3,,999,4147459,84,gram,,
354,SetB3,aklbc,,173,,0.0-9.0-0.18,black,4376.0,SetB,SetB3,,999,4151836,85,gram,,
354,SetB3,eocm,,156,,0.0-9.0-0.19,come,4403.0,SetB,SetB3,,999,4156239,86,gram,,
354,SetB3,cekjta,,134,,0.0-9.0-0.20,jacke,171413.0,SetB,SetB3,,999,4327653,87,gram,,
354,SetB3,genrad,,116,,0.0-9.0-0.21,danger,77143.0,SetB,SetB3,,999,4404797,88,gram,,
354,SetB3,uitrag,,160,,0.0-9.0-0.22,guitar,43106.0,SetB,SetB3,,999,4447903,89,gram,,
354,SetB3,awya,,126,,0.0-9.0-0.23,away,35299.0,SetB,SetB3,,999,4483202,90,gram,,
354,SetB3,okrw,,176,,0.0-9.0-0.24,work,53553.0,SetB,SetB3,,999,4536757,91,gram,,
354,SetB3,atrts,,115,,0.0-9.0-0.25,start,6028.0,SetB,SetB3,,999,4542786,92,gram,,
354,SetB3,priist,,131,,0.0-9.0-0.26,sirtip,122923.0,SetB,SetB3,,999,4665711,93,gram,,
354,SetB3,rrmoir,,094,,0.0-9.0-0.27,mirror,13925.0,SetB,SetB3,,999,4679636,94,gram,,
354,SetB3,klelri,,146,,0.0-9.0-0.28,killer,86932.0,SetB,SetB3,,999,4766569,95,gram,,
354,SetB3,ndif,,091,,0.0-9.0-0.29,find,5007.0,SetB,SetB3,,999,4771578,96,gram,,
354,SetB3,,,,"[{""event"":""focus"",""trial"":0,""time"":1},{""event"":""blur"",""trial"":0,""time"":25164},{""event"":""focus"",""trial"":0,""time"":168097},{""event"":""blur"",""trial"":0,""time"":205299},{""event"":""focus"",""trial"":0,""time"":206590},{""event"":""blur"",""trial"":0,""time"":246425},{""event"":""focus"",""trial"":0,""time"":259532},{""event"":""blur"",""trial"":0,""time"":262344},{""event"":""focus"",""trial"":0,""time"":267107},{""event"":""blur"",""trial"":0,""time"":280559},{""event"":""focus"",""trial"":0,""time"":280654},{""event"":""blur"",""trial"":0,""time"":281021},{""event"":""focus"",""trial"":0,""time"":285809},{""event"":""blur"",""trial"":4,""time"":414665},{""event"":""focus"",""trial"":4,""time"":416188},{""event"":""blur"",""trial"":6,""time"":494241},{""event"":""focus"",""trial"":6,""time"":494762},{""event"":""blur"",""trial"":9,""time"":676165},{""event"":""focus"",""trial"":9,""time"":690354},{""event"":""blur"",""trial"":10,""time"":747824},{""event"":""focus"",""trial"":10,""time"":758149},{""event"":""blur"",""trial"":10,""time"":804954},{""event"":""focus"",""trial"":10,""time"":809779},{""event"":""blur"",""trial"":15,""time"":936101},{""event"":""focus"",""trial"":15,""time"":944287},{""event"":""blur"",""trial"":25,""time"":1305478},{""event"":""focus"",""trial"":25,""time"":1314338},{""event"":""blur"",""trial"":30,""time"":1706884},{""event"":""focus"",""trial"":30,""time"":1731558},{""event"":""blur"",""trial"":33,""time"":2011841},{""event"":""focus"",""trial"":33,""time"":2012931},{""event"":""blur"",""trial"":33,""time"":2040490},{""event"":""focus"",""trial"":33,""time"":2043165},{""event"":""blur"",""trial"":37,""time"":2155328},{""event"":""focus"",""trial"":37,""time"":2158012},{""event"":""blur"",""trial"":39,""time"":2199113},{""event"":""focus"",""trial"":39,""time"":2200319},{""event"":""blur"",""trial"":47,""time"":2655648},{""event"":""focus"",""trial"":47,""time"":2662108},{""event"":""blur"",""trial"":65,""time"":2921933},{""event"":""focus"",""trial"":65,""time"":2941339},{""event"":""blur"",""trial"":65,""time"":2998639},{""event"":""focus"",""trial"":65,""time"":3016266},{""event"":""blur"",""trial"":68,""time"":3251418},{""event"":""focus"",""trial"":68,""time"":3263359},{""event"":""blur"",""trial"":70,""time"":3429771},{""event"":""focus"",""trial"":70,""time"":3443019},{""event"":""blur"",""trial"":79,""time"":3836388},{""event"":""focus"",""trial"":79,""time"":3847904},{""event"":""blur"",""trial"":79,""time"":3850958},{""event"":""focus"",""trial"":79,""time"":3865627},{""event"":""blur"",""trial"":79,""time"":3868418},{""event"":""focus"",""trial"":79,""time"":3876528},{""event"":""blur"",""trial"":79,""time"":3885094},{""event"":""focus"",""trial"":79,""time"":3886771},{""event"":""blur"",""trial"":79,""time"":3923794},{""event"":""focus"",""trial"":79,""time"":3933444},{""event"":""blur"",""trial"":95,""time"":4753416},{""event"":""focus"",""trial"":95,""time"":4754987},{""event"":""blur"",""trial"":97,""time"":4773403},{""event"":""focus"",""trial"":97,""time"":4774840},{""event"":""blur"",""trial"":97,""time"":4779315},{""event"":""focus"",""trial"":97,""time"":4780864},{""event"":""blur"",""trial"":97,""time"":4789220},{""event"":""focus"",""trial"":97,""time"":4791749}]",0.0-11.0,,6798.0,,,,999,4864868,98,instructions,"[{'page_index': 0, 'viewing_time': 3857}, {'page_index': 1, 'viewing_time': 2941}]",
338,SetB3,,,,,0.0-0.0,,111771.0,,,,999,111795,0,instructions,"[{'page_index': 0, 'viewing_time': 1844}, {'page_index': 1, 'viewing_time': 25778}, {'page_index': 2, 'viewing_time': 36248}, {'page_index': 3, 'viewing_time': 22256}, {'page_index': 4, 'viewing_time': 16734}, {'page_index': 5, 'viewing_time': 8910}]",
338,SetB3,,consent,,,0.0-1.0,0,2588.0,,,"<p>By pressing continue below, I understand that I am consenting to participation in this research.</p>",999,114386,1,html-button-response,,
338,SetB3,,,,,0.0-2.0,,34366.0,,,,999,148753,2,instructions,"[{'page_index': 0, 'viewing_time': 6228}, {'page_index': 1, 'viewing_time': 4373}, {'page_index': 2, 'viewing_time': 2043}, {'page_index': 3, 'viewing_time': 5053}, {'page_index': 4, 'viewing_time': 7703}, {'page_index': 5, 'viewing_time': 7310}, {'page_index': 6, 'viewing_time': 1655}]",
338,SetB3,rapctiec,,practice,,0.0-3.0,practice,23421.90000000596,practice,practice,,999,172178,3,gram,,
338,SetB3,,,,,0.0-4.0,,26817.0,,,,999,198996,4,instructions,"[{'page_index': 0, 'viewing_time': 1455}, {'page_index': 1, 'viewing_time': 9626}, {'page_index': 2, 'viewing_time': 15736}]",
338,SetB3,tsaet,,175,,0.0-5.0-0.0,taste,6222.700000017881,SetB,SetB3,,999,205222,5,gram,,
338,SetB3,ecagrh,,101,,0.0-5.0-0.1,charge,16340.19999998808,SetB,SetB3,,999,221565,6,gram,,
338,SetB3,inlpec,,161,,0.0-5.0-0.2,pencil,15921.79999998212,SetB,SetB3,,999,237488,7,gram,,
338,SetB3,yyrale,,095,,0.0-5.0-0.3,yearly,29646.69999998808,SetB,SetB3,,999,267137,8,gram,,
338,SetB3,nderu,,157,,0.0-5.0-0.4,under,72486.69999998808,SetB,SetB3,,999,339625,9,gram,,
338,SetB3,oyugn,,097,,0.0-5.0-0.5,young,16721.80000001192,SetB,SetB3,,999,356348,10,gram,,
338,SetB3,wrdol,,178,,0.0-5.0-0.6,world,1962.800000011921,SetB,SetB3,,999,358312,11,gram,,
338,SetB3,erad,,167,,0.0-5.0-0.7,read,1781.0,SetB,SetB3,,999,360093,12,gram,,
338,SetB3,ekpe,,148,,0.0-5.0-0.8,peek,3117.4000000059605,SetB,SetB3,,999,363211,13,gram,,
338,SetB3,lalc,,110,,0.0-5.0-0.9,call,3302.0,SetB,SetB3,,999,366514,14,gram,,
338,SetB3,ruesp,,120,,0.0-5.0-0.10,purse,21506.20000001788,SetB,SetB3,,999,388021,15,gram,,
338,SetB3,iuteq,,153,,0.0-5.0-0.11,quiet,4771.5,SetB,SetB3,,999,392793,16,gram,,
338,SetB3,gener,,144,,0.0-5.0-0.12,genre,5884.5999999940395,SetB,SetB3,,999,398679,17,gram,,
338,SetB3,twire,,096,,0.0-5.0-0.13,wirte,32264.40000000596,SetB,SetB3,,999,430944,18,gram,,
338,SetB3,meltep,,158,,0.0-5.0-0.14,temple,63646.89999997616,SetB,SetB3,,999,494592,19,gram,,
338,SetB3,jniruy,,129,,0.0-5.0-0.15,injury,3720.900000005961,SetB,SetB3,,999,498313,20,gram,,
338,SetB3,lneeed,,138,,0.0-5.0-0.16,needle,87239.70000001788,SetB,SetB3,,999,585554,21,gram,,
338,SetB3,paly,,133,,0.0-5.0-0.17,play,3364.300000011921,SetB,SetB3,,999,588919,22,gram,,
338,SetB3,vnisoi,,123,,0.0-5.0-0.18,vision,4856.9000000059605,SetB,SetB3,,999,593777,23,gram,,
338,SetB3,sdnat,,169,,0.0-5.0-0.19,stand,11983.69999998808,SetB,SetB3,,999,605761,24,gram,,
338,SetB3,ripeem,,092,,0.0-5.0-0.20,empire,34959.29999998212,SetB,SetB3,,999,640721,25,gram,,
338,SetB3,habcrn,,165,,0.0-5.0-0.21,branch,85559.89999997616,SetB,SetB3,,999,725814,26,gram,,
338,SetB3,niel,,109,,0.0-5.0-0.22,line,23828.29999998212,SetB,SetB3,,999,749643,27,gram,,
338,SetB3,enxt,,177,,0.0-5.0-0.23,next,1912.9000000059605,SetB,SetB3,,999,751556,28,gram,,
338,SetB3,uspl,,162,,0.0-5.0-0.24,plus,3817.800000011921,SetB,SetB3,,999,755375,29,gram,,
338,SetB3,wteall,,099,,0.0-5.0-0.25,wallet,79043.80000001192,SetB,SetB3,,999,834419,30,gram,,
338,SetB3,agpe,,132,,0.0-5.0-0.26,gape,3038.199999988079,SetB,SetB3,,999,837458,31,gram,,
338,SetB3,ewrhe,,128,,0.0-5.0-0.27,where,1678.5999999940395,SetB,SetB3,,999,839137,32,gram,,
338,SetB3,anlxie,,136,,0.0-5.0-0.28,axel,53403.60000002384,SetB,SetB3,,999,892541,33,gram,,
338,SetB3,ecfa,,106,,0.0-5.0-0.29,cafe,2548.4000000059605,SetB,SetB3,,999,895090,34,gram,,
338,SetB3,,resting,,,0.0-6.0,0,2093.0,,,<p>Great job! You have completed the first block of trials.</p><p>Take a short break before continuing to the next block.</p>,999,897185,35,html-button-response,,
338,SetB3,atsy,,164,,0.0-7.0-0.0,stay,8782.700000017881,SetB,SetB3,,999,905968,36,gram,,
338,SetB3,leiv,,107,,0.0-7.0-0.1,live,3270.4000000059605,SetB,SetB3,,999,909240,37,gram,,
338,SetB3,kuicq,,130,,0.0-7.0-0.2,quick,2263.300000011921,SetB,SetB3,,999,911504,38,gram,,
338,SetB3,aretw,,174,,0.0-7.0-0.3,water,2022.5,SetB,SetB3,,999,913527,39,gram,,
338,SetB3,tpra,,142,,0.0-7.0-0.4,part,2946.2999999821186,SetB,SetB3,,999,916473,40,gram,,
338,SetB3,hgtir,,168,,0.0-7.0-0.5,right,4472.0999999940395,SetB,SetB3,,999,920946,41,gram,,
338,SetB3,faodfr,,093,,0.0-7.0-0.6,afford,73247.40000000596,SetB,SetB3,,999,994194,42,gram,,
338,SetB3,brorha,,100,,0.0-7.0-0.7,harbor,15526.30000001192,SetB,SetB3,,999,1009721,43,gram,,
338,SetB3,ofcife,,103,,0.0-7.0-0.8,office,2387.199999988079,SetB,SetB3,,999,1012109,44,gram,,
338,SetB3,hoest,,163,,0.0-7.0-0.9,those,85664.59999999404,SetB,SetB3,,999,1097773,45,gram,,
338,SetB3,uqiet,,155,,0.0-7.0-0.10,quiet,3584.0999999940395,SetB,SetB3,,999,1101358,46,gram,,
338,SetB3,weset,,125,,0.0-7.0-0.11,sweet,9325.79999998212,SetB,SetB3,,999,1110684,47,gram,,
338,SetB3,ehwti,,117,,0.0-7.0-0.12,white,2835.5,SetB,SetB3,,999,1113520,48,gram,,
338,SetB3,srue,,159,,0.0-7.0-0.13,ruse,5816.5,SetB,SetB3,,999,1119337,49,gram,,
338,SetB3,lissof,,141,,0.0-7.0-0.14,fossil,7276.299999982119,SetB,SetB3,,999,1126614,50,gram,,
