id,non_match_count,match_ratio,response_count,match_count,anagram_x,correct,response1,response2,response3,response4,response5,response6,response7,response8,response9,response10
001,3,0.5,6,3,otbau,about,about,batou,aotbu,bat,about,about,,,,
002,1,0.8333333333333334,6,5,yeowll,yellow,yellow,yellow,yellow,yeow,yellow,yellow,,,,
003,2,0.6666666666666666,6,4,lilts,still,still,still,tils,slit,still,still,,,,
004,4,0.3333333333333333,6,2,eorv,over,rove,rove,vore,rove,over,over,,,,
005,1,0.8333333333333334,6,5,eanrl,learn,learn,learn,learn,reak,learn,learn,,,,
006,3,0.5,6,3,ilervs,silver,silver,silver,lervis,liver,silver,livers,,,,
007,4,0.3333333333333333,6,2,adorab,abroad,abroad,badora,adorab,bad,abroad,abroade,,,,
008,4,0.3333333333333333,6,2,saol,also,also,laos,loas,ola,laso,also,,,,
009,3,0.5,6,3,trehe,there,there,three,three,there,three,there,,,,
010,2,0.6666666666666666,6,4,iethr,their,their,their,eithr,their,either,their,,,,
011,0,1.0,6,6,enhw,when,when,when,when,when,when,when,,,,
012,3,0.5,6,3,gjlenu,jungle,jungle,jungle,enugil,gel,jugle,jungle,,,,
013,0,1.0,6,6,eryv,very,very,very,very,very,very,very,,,,
014,1,0.8333333333333334,6,5,latnp,plant,plant,plant,pantl,plant,plant,plant,,,,
015,3,0.5,6,3,hgtin,thing,thing,thing,tighg,night,night,thing,,,,
016,1,0.8333333333333334,6,5,ufselu,useful,useful,useful,useful,eluf,useful,useful,,,,
017,2,0.6666666666666666,6,4,hhaelt,health,health,health,healt,halt,health,health,,,,
018,3,0.5,6,3,grael,large,lager,large,gael,lager,large,large,,,,
019,1,0.8333333333333334,6,5,mite,time,time,time,mite,time,time,time,,,,
020,2,0.6666666666666666,6,4,leacp,place,place,place,peacl,leap,place,place,,,,
021,3,0.5,6,3,ffctee,effect,effect,etecff,fetect,feet,effect,effect,,,,
022,1,0.8333333333333334,6,5,bjecto,object,object,object,object,job,object,object,,,,
023,0,1.0,6,6,osme,some,some,some,some,some,some,some,,,,
024,2,0.6666666666666666,6,4,ginaa,again,again,again,niaga,agina,again,again,,,,
025,2,0.6666666666666666,6,4,ewtlha,wealth,wealth,wealth,thewl,heat,wealth,wealth,,,,
026,3,0.5,6,3,tderes,desert,rested,desert,tedres,dret,desert,desert,,,,
027,3,0.5,6,3,ncotai,action,action,tocnai,cotain,cant,action,action,,,,
028,3,0.5,6,3,eehrt,three,three,three,heert,there,three,there,,,,
029,1,0.8333333333333334,6,5,konw,know,know,know,know,wonk,know,know,,,,
030,2,0.6666666666666666,6,4,eclcri,circle,circle,celeri,circle,clerc,circle,circle,,,,
031,1,0.8333333333333334,6,5,ktihn,think,think,think,ithhe,think,think,think,,,,
032,2,0.6666666666666666,6,4,nhgace,change,change,change,grace,can,change,change,,,,
033,0,1.0,6,6,evyre,every,every,every,every,every,every,every,,,,
034,2,0.6666666666666666,6,4,husoe,house,house,house,House,hose,house,house,,,,
035,1,0.8333333333333334,6,5,vgie,give,give,give,grie,give,give,give,,,,
036,4,0.3333333333333333,6,2,mfor,from,from,form,form,form,from,form,,,,
037,2,0.6666666666666666,6,4,ponti,point,point,piton,point,not,point,point,,,,
038,5,0.16666666666666666,6,1,dolcu,could,could,cloud,docul,cold,cloud,cloud,,,,
039,1,0.8333333333333334,6,5,peleop,people,people,people,people,peel,people,people,,,,
040,0,1.0,6,6,hwat,what,what,what,what,what,what,what,,,,
041,3,0.5,6,3,itno,into,into,noit,into,tino,into,oint,,,,
042,2,0.6666666666666666,6,4,gltihf,flight,flight,flight,light,flight,flight,filthy,,,,
043,3,0.5,6,3,omer,more,more,rome,more,rome,rome,more,,,,
044,2,0.6666666666666666,6,4,ysdtu,study,study,study,tusdy,dusty,study,study,,,,
045,0,1.0,6,6,ttha,that,that,that,that,that,that,that,,,,
046,0,1.0,6,6,heav,have,have,have,have,have,have,have,,,,
047,4,0.3333333333333333,6,2,hotre,other,other,throe,treho,hot,thero,other,,,,
048,1,0.8333333333333334,6,5,onusd,sound,sound,sound,sound,udon,sound,sound,,,,
049,0,1.0,6,6,antw,want,want,want,want,want,want,want,,,,
050,1,0.8333333333333334,6,5,hwti,with,with,with,with,whit,with,with,,,,
051,4,0.3333333333333333,6,2,sheet,these,these,these,sheet,sheet,sheet,sheet,,,,
052,1,0.8333333333333334,6,5,akbc,back,back,back,bbakc,back,back,back,,,,
053,0,1.0,6,6,tyeh,they,they,they,they,they,they,they,,,,
054,2,0.6666666666666666,6,4,azutrq,quartz,quartz,quartz,qazutr,quart,quartz,quartz,,,,
055,1,0.8333333333333334,6,5,uavcmu,vacuum,vacuum,vacuum,vacuum,vaccum,vacuum,vacuum,,,,
056,0,1.0,6,6,iwll,will,will,will,will,will,will,will,,,,
057,2,0.6666666666666666,6,4,llpse,spell,spell,spell,pilse,pell,spell,spell,,,,
