id,correct,valid_ratio,valid_count,non_match_count,match_ratio,response_count,match_count,anagram_x,response1,response2,response3,response4,response5,response6,response7,response8,response9,response10
001,about,0.5,3,3,0.5,6,3,otbau,about,batou,aotbu,bat,about,about,,,,
002,yellow,0.8333333333333334,5,1,0.8333333333333334,6,5,yeowll,yellow,yellow,yellow,yeow,yellow,yellow,,,,
003,still,0.6666666666666666,4,2,0.6666666666666666,6,4,lilts,still,still,tils,slit,still,still,,,,
004,over,0.8333333333333334,5,4,0.3333333333333333,6,2,eorv,rove,rove,vore,rove,over,over,,,,
005,learn,0.8333333333333334,5,1,0.8333333333333334,6,5,eanrl,learn,learn,learn,reak,learn,learn,,,,
006,silver,0.6666666666666666,4,3,0.5,6,3,ilervs,silver,silver,lervis,liver,silver,livers,,,,
007,abroad,0.3333333333333333,2,4,0.3333333333333333,6,2,adorab,abroad,badora,adorab,bad,abroad,abroade,,,,
008,also,0.5,3,4,0.3333333333333333,6,2,saol,also,laos,loas,ola,laso,also,,,,
009,there,1.0,6,3,0.5,6,3,trehe,there,three,three,there,three,there,,,,
010,their,0.6666666666666666,4,2,0.6666666666666666,6,4,iethr,their,their,eithr,their,either,their,,,,
011,when,1.0,6,0,1.0,6,6,enhw,when,when,when,when,when,when,,,,
012,jungle,0.5,3,3,0.5,6,3,gjlenu,jungle,jungle,enugil,gel,jugle,jungle,,,,
013,very,1.0,6,0,1.0,6,6,eryv,very,very,very,very,very,very,,,,
014,plant,0.8333333333333334,5,1,0.8333333333333334,6,5,latnp,plant,plant,pantl,plant,plant,plant,,,,
015,thing,0.8333333333333334,5,3,0.5,6,3,hgtin,thing,thing,tighg,night,night,thing,,,,
016,useful,0.8333333333333334,5,1,0.8333333333333334,6,5,ufselu,useful,useful,useful,eluf,useful,useful,,,,
017,health,0.6666666666666666,4,2,0.6666666666666666,6,4,hhaelt,health,health,healt,halt,health,health,,,,
018,large,0.8333333333333334,5,3,0.5,6,3,grael,lager,large,gael,lager,large,large,,,,
019,time,1.0,6,1,0.8333333333333334,6,5,mite,time,time,mite,time,time,time,,,,
020,place,0.6666666666666666,4,2,0.6666666666666666,6,4,leacp,place,place,peacl,leap,place,place,,,,
021,effect,0.5,3,3,0.5,6,3,ffctee,effect,etecff,fetect,feet,effect,effect,,,,
022,object,0.8333333333333334,5,1,0.8333333333333334,6,5,bjecto,object,object,object,job,object,object,,,,
023,some,1.0,6,0,1.0,6,6,osme,some,some,some,some,some,some,,,,
024,again,0.6666666666666666,4,2,0.6666666666666666,6,4,ginaa,again,again,niaga,agina,again,again,,,,
025,wealth,0.6666666666666666,4,2,0.6666666666666666,6,4,ewtlha,wealth,wealth,thewl,heat,wealth,wealth,,,,
026,desert,0.6666666666666666,4,3,0.5,6,3,tderes,rested,desert,tedres,dret,desert,desert,,,,
027,action,0.5,3,3,0.5,6,3,ncotai,action,tocnai,cotain,cant,action,action,,,,
028,three,0.8333333333333334,5,3,0.5,6,3,eehrt,three,three,heert,there,three,there,,,,
029,know,1.0,6,1,0.8333333333333334,6,5,konw,know,know,know,wonk,know,know,,,,
030,circle,0.6666666666666666,4,2,0.6666666666666666,6,4,eclcri,circle,celeri,circle,clerc,circle,circle,,,,
031,think,0.8333333333333334,5,1,0.8333333333333334,6,5,ktihn,think,think,ithhe,think,think,think,,,,
032,change,0.6666666666666666,4,2,0.6666666666666666,6,4,nhgace,change,change,grace,can,change,change,,,,
033,every,1.0,6,0,1.0,6,6,evyre,every,every,every,every,every,every,,,,
034,house,0.8333333333333334,5,2,0.6666666666666666,6,4,husoe,house,house,House,hose,house,house,,,,
035,give,0.8333333333333334,5,1,0.8333333333333334,6,5,vgie,give,give,grie,give,give,give,,,,
036,from,1.0,6,4,0.3333333333333333,6,2,mfor,from,form,form,form,from,form,,,,
037,point,0.8333333333333334,5,2,0.6666666666666666,6,4,ponti,point,piton,point,not,point,point,,,,
038,could,0.6666666666666666,4,5,0.16666666666666666,6,1,dolcu,could,cloud,docul,cold,cloud,cloud,,,,
039,people,0.8333333333333334,5,1,0.8333333333333334,6,5,peleop,people,people,people,peel,people,people,,,,
040,what,1.0,6,0,1.0,6,6,hwat,what,what,what,what,what,what,,,,
041,into,0.8333333333333334,5,3,0.5,6,3,itno,into,noit,into,tino,into,oint,,,,
042,flight,0.6666666666666666,4,2,0.6666666666666666,6,4,gltihf,flight,flight,light,flight,flight,filthy,,,,
043,more,1.0,6,3,0.5,6,3,omer,more,rome,more,rome,rome,more,,,,
044,study,0.8333333333333334,5,2,0.6666666666666666,6,4,ysdtu,study,study,tusdy,dusty,study,study,,,,
045,that,1.0,6,0,1.0,6,6,ttha,that,that,that,that,that,that,,,,
046,have,1.0,6,0,1.0,6,6,heav,have,have,have,have,have,have,,,,
047,other,0.5,3,4,0.3333333333333333,6,2,hotre,other,throe,treho,hot,thero,other,,,,
048,sound,0.8333333333333334,5,1,0.8333333333333334,6,5,onusd,sound,sound,sound,udon,sound,sound,,,,
049,want,1.0,6,0,1.0,6,6,antw,want,want,want,want,want,want,,,,
050,with,1.0,6,1,0.8333333333333334,6,5,hwti,with,with,with,whit,with,with,,,,
051,these,1.0,6,4,0.3333333333333333,6,2,sheet,these,these,sheet,sheet,sheet,sheet,,,,
052,back,0.8333333333333334,5,1,0.8333333333333334,6,5,akbc,back,back,bbakc,back,back,back,,,,
053,they,1.0,6,0,1.0,6,6,tyeh,they,they,they,they,they,they,,,,
054,quartz,0.6666666666666666,4,2,0.6666666666666666,6,4,azutrq,quartz,quartz,qazutr,quart,quartz,quartz,,,,
055,vacuum,0.8333333333333334,5,1,0.8333333333333334,6,5,uavcmu,vacuum,vacuum,vacuum,vaccum,vacuum,vacuum,,,,
056,will,1.0,6,0,1.0,6,6,iwll,will,will,will,will,will,will,,,,
057,spell,0.6666666666666666,4,2,0.6666666666666666,6,4,llpse,spell,spell,pilse,pell,spell,spell,,,,
058,after,0.5,3,3,0.5,6,3,eatrf,after,featr,featr,eat,after,after,,,,
059,then,1.0,6,0,1.0,6,6,enht,then,then,then,then,then,then,,,,
060,nature,0.6666666666666666,4,2,0.6666666666666666,6,4,tnurea,nature,nature,tundre,turn,nature,nature,,,,
061,above,0.6666666666666666,4,2,0.6666666666666666,6,4,beoav,above,above,above,abe,abovd,above,,,,
062,method,0.6666666666666666,4,2,0.6666666666666666,6,4,emdtho,method,method,emdtho,thod,method,method,,,,
063,your,1.0,6,0,1.0,6,6,oruy,your,your,your,your,your,your,,,,
064,this,1.0,6,5,0.16666666666666666,6,1,itsh,hits,this,shit,shit,shit,shit,,,,
065,island,1.0,6,0,1.0,6,6,iansld,island,island,island,island,island,island,,,,
066,them,0.8333333333333334,5,1,0.8333333333333334,6,5,hemt,them,them,temp,them,them,them,,,,
067,small,0.6666666666666666,4,2,0.6666666666666666,6,4,lmsal,small,small,samll,small,small,Islam,,,,
068,first,0.8333333333333334,5,2,0.6666666666666666,6,4,sitrf,first,first,stiff,rifts,first,first,,,,
069,right,0.8333333333333334,5,4,0.3333333333333333,6,2,gthir,girth,girth,thgir,right,right,girth,,,,
070,energy,0.6666666666666666,4,2,0.6666666666666666,6,4,ygeren,energy,energy,green,regen,energy,energy,,,,
071,much,0.8333333333333334,5,3,0.5,6,3,uhcm,much,chum,cuhm,chum,much,much,,,,
072,found,0.6666666666666666,4,3,0.5,6,3,ofndu,found,fondu,Dufon,fond,found,found,,,,
073,below,0.6666666666666666,4,4,0.3333333333333333,6,2,oblwe,elbow,bowel,olwbe,blow,below,below,,,,
074,breeze,0.6666666666666666,4,3,0.5,6,3,rebeez,breeze,breeze,beezre,beer,beezer,breeze,,,,
075,damage,0.8333333333333334,5,1,0.8333333333333334,6,5,daaemg,damage,damage,megaad,damage,damage,damage,,,,
076,travel,0.6666666666666666,4,2,0.6666666666666666,6,4,erlvat,travel,travel,lervat,travel,travel,revalt,,,,
077,beauty,0.6666666666666666,4,2,0.6666666666666666,6,4,uebtay,beauty,beauty,tubay,bet,beauty,beauty,,,,
078,liquid,0.8333333333333334,5,1,0.8333333333333334,6,5,dlqiui,liquid,liquid,quidli,liquid,liquid,liquid,,,,
079,record,0.6666666666666666,4,3,0.5,6,3,oredcr,record,record,order,cred,record,corder,,,,
080,kernel,0.5,3,3,0.5,6,3,keelrn,renkle,kernel,nrikee,kneel,kernel,kernel,,,,
081,growth,0.6666666666666666,4,2,0.6666666666666666,6,4,rwohgt,growth,growth,wroght,how,growth,growth,,,,
082,take,1.0,6,0,1.0,6,6,tkea,take,take,take,take,take,take,,,,
083,most,1.0,6,1,0.8333333333333334,6,5,stmo,most,most,toms,most,most,most,,,,
084,text,1.0,6,0,1.0,6,6,txet,text,text,text,text,text,text,,,,
085,like,1.0,6,0,1.0,6,6,lkie,like,like,like,like,like,like,,,,
086,zephyr,0.5,3,3,0.5,6,3,przhye,zephyr,zephyr,pzhye,yep,phyzre,zephyr,,,,
087,great,1.0,6,1,0.8333333333333334,6,5,gtrae,great,great,great,great,great,grate,,,,
088,than,0.8333333333333334,5,1,0.8333333333333334,6,5,tahn,than,than,than,than,than,thjan,,,,
089,never,0.8333333333333334,5,3,0.5,6,3,eenrv,nerve,never,veen,nerve,never,never,,,,
090,down,0.6666666666666666,4,2,0.6666666666666666,6,4,wdno,down,down,wond,won,down,down,,,,
091,find,1.0,6,0,1.0,6,6,ndif,find,find,find,find,find,find,,,,
092,empire,0.5,3,4,0.3333333333333333,6,2,ripeem,premie,empire,empire,mippe,prime,idk,,,,
093,afford,0.6666666666666666,4,2,0.6666666666666666,6,4,faodfr,afford,afford,afford,frodo,fo,afford,,,,
094,mirror,1.0,6,0,1.0,6,6,rrmoir,mirror,mirror,mirror,mirror,mirror,mirror,,,,
095,yearly,0.6666666666666666,4,2,0.6666666666666666,6,4,yyrale,yearly,yearly,yearly,rayyle,yearly,idk,,,,
096,write,0.8333333333333334,5,1,0.8333333333333334,6,5,twire,write,wirte,write,write,write,write,,,,
097,young,0.8333333333333334,5,1,0.8333333333333334,6,5,oyugn,young,young,young,yug,young,young,,,,
098,light,0.7142857142857143,5,2,0.7142857142857143,7,5,htigl,light,light,light,light,light,gihlt,,,,
099,wallet,0.6666666666666666,4,2,0.6666666666666666,6,4,wteall,wallet,wallet,wallet,tallew,wall,wallet,,,,
100,harbor,1.0,6,0,1.0,6,6,brorha,harbor,harbor,harbor,harbor,harbor,harbor,,,,
101,charge,0.5,3,3,0.5,6,3,ecagrh,greach,charge,charge,scarh,ch,charge,,,,
102,even,1.0,6,0,1.0,6,6,eevn,even,even,even,even,even,even,,,,
103,office,0.8333333333333334,5,1,0.8333333333333334,6,5,ofcife,office,office,office,office,c,office,,,,
104,sight,0.6666666666666666,4,2,0.6666666666666666,6,4,higts,sight,sight,sight,tights,sight,tighs,,,,
105,father,0.5,3,3,0.5,6,3,tfhrea,father,farther,father,three,father,feather,,,,
106,face,1.0,6,1,0.8333333333333334,6,5,ecfa,face,cafe,face,face,face,face,,,,
107,live,0.8333333333333334,5,3,0.5,6,3,leiv,veil,live,live,live,evil,viel,,,,
108,might,0.8333333333333334,5,1,0.8333333333333334,6,5,mihgt,might,might,might,night,might,might,,,,
109,line,1.0,6,1,0.8333333333333334,6,5,niel,line,line,line,line,line,lien,,,,
110,call,0.8333333333333334,5,1,0.8333333333333334,6,5,lalc,call,call,call,call,call,calc,,,,
111,love,1.0,6,0,1.0,6,6,elvo,love,love,love,love,love,love,,,,
112,while,0.8333333333333334,5,1,0.8333333333333334,6,5,ielhw,while,while,while,while,while,idk,,,,
113,help,1.0,6,0,1.0,6,6,phel,help,help,help,help,help,help,,,,
114,would,0.8333333333333334,5,1,0.8333333333333334,6,5,odlwu,would,would,would,old,would,would,,,,
115,start,1.0,6,1,0.8333333333333334,6,5,atrts,start,start,start,tarts,start,start,,,,
116,garden,0.8333333333333334,5,6,0.0,6,0,genrad,danger,danger,grande,red,danger,danger,,,,
117,white,1.0,6,0,1.0,6,6,ehwti,white,white,white,white,white,white,,,,
118,left,1.0,6,5,0.16666666666666666,6,1,eflt,left,felt,felt,felt,felt,felt,,,,
119,which,1.0,6,0,1.0,6,6,wihhc,which,which,which,which,which,which,,,,
120,super,1.0,6,2,0.6666666666666666,6,4,ruesp,super,purse,purse,super,super,super,,,,
121,move,1.0,6,0,1.0,6,6,vome,move,move,move,move,move,move,,,,
122,turn,0.8333333333333334,5,3,0.5,6,3,rnut,turnj,turn,runt,turn,turn,runt,,,,
123,vision,1.0,6,0,1.0,6,6,vnisoi,vision,vision,vision,vision,vision,vision,,,,
124,seem,1.0,6,0,1.0,6,6,emse,seem,seem,seem,seem,seem,seem,,,,
125,sweet,0.6666666666666666,4,2,0.6666666666666666,6,4,weset,sweet,sweet,sweet,sete,sweet,idk,,,,
126,away,1.0,6,0,1.0,6,6,awya,away,away,away,away,away,away,,,,
127,talk,1.0,6,0,1.0,6,6,atkl,talk,talk,talk,talk,talk,talk,,,,
128,where,1.0,6,0,1.0,6,6,ewrhe,where,where,where,where,where,where,,,,
129,injury,1.0,6,0,1.0,6,6,jniruy,injury,injury,injury,injury,injury,injury,,,,
130,quick,1.0,6,0,1.0,6,6,kuicq,quick,quick,quick,quick,quick,quick,,,,
131,spirit,0.5,3,3,0.5,6,3,priist,sirtip,spirit,spirit,trisp,spirit,tisipr,,,,
132,page,1.0,6,4,0.3333333333333333,6,2,agpe,gape,gape,page,page,gape,gape,,,,
133,play,0.8333333333333334,5,1,0.8333333333333334,6,5,paly,play,play,play,palu,play,play,,,,
134,jacket,0.5,3,3,0.5,6,3,cekjta,jacke,jacket,jacket,jeck,.,jacket,,,,
135,stop,1.0,6,1,0.8333333333333334,6,5,psto,stop,post,stop,stop,stop,stop,,,,
136,xenial,0.16666666666666666,1,5,0.16666666666666666,6,1,anlxie,lanxie,axel,xenial,lnd,?,idk,,,,
137,feel,1.0,6,2,0.6666666666666666,6,4,eelf,flee,feel,flee,feel,feel,feel,,,,
138,needle,0.8333333333333334,5,2,0.6666666666666666,6,4,lneeed,indeed,needle,needle,needle,needle,lendee,,,,
139,import,0.6666666666666666,4,2,0.6666666666666666,6,4,mrtpio,import,import,import,portion,import,tormip,,,,
140,update,0.5,3,3,0.5,6,3,dptuae,daptua,update,update,tuap,update,puated,,,,
141,fossil,0.8333333333333334,5,1,0.8333333333333334,6,5,lissof,fossil,fossil,fossil,soil,fossil,fossil,,,,
142,part,1.0,6,2,0.6666666666666666,6,4,tpra,trap,part,part,part,trap,part,,,,
143,danger,0.6666666666666666,4,5,0.16666666666666666,6,1,dgrnae,garden,grenade,danger,raemd,garden,grande,,,,
144,green,0.8333333333333334,5,4,0.3333333333333333,6,2,gener,green,genre,genre,gener,reneg,green,,,,
145,clear,0.5,3,3,0.5,6,3,aecrl,larce,clear,clear,creal,clear,larce,,,,
146,killer,0.5,3,3,0.5,6,3,klelri,killer,killer,killer,rilkke,k,idk,,,,
147,story,1.0,6,0,1.0,6,6,yotsr,story,story,story,story,story,story,,,,
148,keep,1.0,6,3,0.5,6,3,ekpe,peek,peek,keep,keep,peek,keep,,,,
149,quiver,0.6666666666666666,4,2,0.6666666666666666,6,4,evuqri,quiver,quiver,quiver,euvwui,quiver,viequr,,,,
150,city,1.0,6,0,1.0,6,6,yict,city,city,city,city,city,city,,,,
151,brown,1.0,6,0,1.0,6,6,nowbr,brown,brown,brown,brown,brown,brown,,,,
152,zodiac,0.8333333333333334,5,1,0.8333333333333334,6,5,ocdiaz,zodiac,zodiac,zodiac,diaz,zodiac,zodiac,,,,
