Type,Word Pairs
Four-Letter,"fine, nefi"
Four-Letter,"rest, trse"
Four-Letter,"term, tmre"
Four-Letter,"wife, eiwf"
Four-Letter,"hear, rhea"
Four-Letter,"shot, thos"
Four-Letter,"miss, issm"
Four-Letter,"date, edta"
Four-Letter,"site, ties"
Four-Letter,"land, nadl"
Four-Letter,"eyes, esey"
Four-Letter,"june, juen"
Four-Letter,"lead, dale"
Four-Letter,"club, clbu"
Four-Letter,"film, lmfi"
Four-Letter,"dead, daed"
Four-Letter,"test, etts"
Four-Letter,"view, wvei"
Four-Letter,"hold, dloh"
Four-Letter,"star, tsra"
Four-Letter,"hour, rohu"
Four-Letter,"wish, hwsi"
Four-Letter,"gone, gnoe"
Four-Letter,"gold, odgl"
Four-Letter,"king, nigk"
Four-Letter,"july, juyl"
Four-Letter,"east, aest"
Four-Letter,"sent, nets"
Four-Letter,"bank, aknb"
Four-Letter,"role, oerl"
Four-Letter,"park, arpk"
Four-Letter,"cool, oolc"
Four-Letter,"bill, lbli"
Four-Letter,"save, esva"
Four-Letter,"rate, reat"
Four-Letter,"fast, fsat"
Four-Letter,"blue, uelb"
Four-Letter,"size, eizs"
Four-Letter,"step, spet"
Four-Letter,"fall, llaf"
Four-Letter,"felt, ftle"
Four-Letter,"paid, pdia"
Four-Letter,"page, pgae"
Four-Letter,"vote, vtoe"
Four-Letter,"hate, ehta"
Five-Letter,"legal, alelg"
Five-Letter,"union, unoni"
Five-Letter,"seven, evnse"
Five-Letter,"cover, ovecr"
Five-Letter,"staff, fsaft"
Five-Letter,"crazy, yzacr"
Five-Letter,"built, tbiul"
Five-Letter,"daily, diayl"
Five-Letter,"voice, eicov"
Five-Letter,"paper, eprpa"
Five-Letter,"parts, apstr"
Five-Letter,"earth, retha"
Five-Letter,"below, wleob"
Five-Letter,"table, talbe"
Five-Letter,"truth, httur"
Five-Letter,"offer, roffe"
Five-Letter,"sleep, seepl"
Five-Letter,"visit, sivit"
Five-Letter,"piece, peiec"
Five-Letter,"india, nadii"
Five-Letter,"build, bludi"
Five-Letter,"river, erirv"
Five-Letter,"speak, kspea"
Five-Letter,"write, teirw"
Five-Letter,"eight, heigt"
Five-Letter,"funny, ynnfu"
Five-Letter,"track, artkc"
Five-Letter,"album, ulbma"
Five-Letter,"peace, pcaee"
Five-Letter,"store, terso"
Five-Letter,"brown, wbrno"
Five-Letter,"moved, ovdme"
Five-Letter,"ahead, ahdea"
Five-Letter,"radio, odrai"
Five-Letter,"allow, wallo"
Five-Letter,"cross, srcso"
Five-Letter,"loved, evldo"
Five-Letter,"speed, spede"
Five-Letter,"focus, ufsco"
Five-Letter,"jesus, ujess"
Five-Letter,"extra, xetra"
Five-Letter,"quick, ucqik"
Five-Letter,"clean, enlca"
Five-Letter,"scene, ncees"
Five-Letter,"agree, rgeae"
Six-Letter,"degree, egdere"
Six-Letter,"france, farecn"
Six-Letter,"active, ivceat"
Six-Letter,"cancer, neccra"
Six-Letter,"master, masret"
Six-Letter,"wonder, dwonre"
Six-Letter,"russia, uariss"
Six-Letter,"secret, retcse"
Six-Letter,"latest, lsatet"
Six-Letter,"senior, eoirns"
Six-Letter,"effort, reftof"
Six-Letter,"spring, sringp"
Six-Letter,"impact, cpamti"
Six-Letter,"africa, cfarai"
Six-Letter,"sunday, dyuans"
Six-Letter,"direct, rtdiec"
Six-Letter,"indian, dniani"
Six-Letter,"easily, eislay"
Six-Letter,"finish, fhiisn"
Six-Letter,"choose, sehooc"
Six-Letter,"closed, cesodl"
Six-Letter,"damage, dagaem"
Six-Letter,"doctor, rtdooc"
Six-Letter,"notice, intcoe"
Six-Letter,"highly, hlghyi"
Six-Letter,"winter, wtrein"
Six-Letter,"broken, bnkore"
Six-Letter,"theory, etohry"
Six-Letter,"advice, ievadc"
Six-Letter,"nation, oitnan"
Six-Letter,"camera, aacmer"
Six-Letter,"agency, yngcae"
Six-Letter,"status, tasuts"
Six-Letter,"murder, uerdmr"
Six-Letter,"flight, hlgift"
Six-Letter,"google, lgegoo"
Six-Letter,"coffee, oecffe"
Six-Letter,"actual, aluatc"
Six-Letter,"mobile, mliobe"
Six-Letter,"opened, edeonp"
Six-Letter,"placed, aclepd"
Six-Letter,"signed, gdesni"
Six-Letter,"eating, iegatn"
Six-Letter,"screen, enrcse"
Six-Letter,"speech, hsecpe"
