Type,Word Pairs
Four-Letter,"fine, einf"
Four-Letter,"rest, tser"
Four-Letter,"term, etmr"
Four-Letter,"wife, wief"
Four-Letter,"hear, aher"
Four-Letter,"shot, soth"
Four-Letter,"miss, isms"
Four-Letter,"date, edta"
Four-Letter,"site, stei"
Four-Letter,"land, ndal"
Four-Letter,"eyes, eeys"
Four-Letter,"june, eunj"
Four-Letter,"lead, dlae"
Four-Letter,"club, bluc"
Four-Letter,"film, lmif"
Four-Letter,"dead, aded"
Four-Letter,"test, tset"
Four-Letter,"view, wevi"
Four-Letter,"hold, ldoh"
Four-Letter,"star, trsa"
Four-Letter,"hour, urho"
Four-Letter,"wish, shiw"
Four-Letter,"gone, ogne"
Four-Letter,"gold, oldg"
Four-Letter,"king, igkn"
Four-Letter,"july, lujy"
Four-Letter,"east, sate"
Four-Letter,"sent, nset"
Four-Letter,"bank, anbk"
Four-Letter,"role, oler"
Four-Letter,"park, karp"
Four-Letter,"cool, cloo"
Four-Letter,"bill, llbi"
Four-Letter,"save, vaes"
Four-Letter,"rate, taer"
Four-Letter,"fast, sfat"
Four-Letter,"blue, lueb"
Four-Letter,"size, seiz"
Four-Letter,"step, epst"
Four-Letter,"fall, alfl"
Four-Letter,"felt, left"
Four-Letter,"paid, apdi"
Four-Letter,"page, agpe"
Four-Letter,"vote, tove"
Four-Letter,"hate, heta"
Five-Letter,"legal, lealg"
Five-Letter,"union, niuon"
Five-Letter,"seven, evsen"
Five-Letter,"cover, ovcer"
Five-Letter,"staff, fafts"
Five-Letter,"crazy, zrcay"
Five-Letter,"built, uibtl"
Five-Letter,"daily, ldiay"
Five-Letter,"voice, ceiov"
Five-Letter,"paper, eprap"
Five-Letter,"parts, sratp"
Five-Letter,"earth, rateh"
Five-Letter,"below, weolb"
Five-Letter,"table, batle"
Five-Letter,"truth, utthr"
Five-Letter,"offer, efrof"
Five-Letter,"sleep, peels"
Five-Letter,"visit, ivist"
Five-Letter,"piece, cieep"
Five-Letter,"india, aidni"
Five-Letter,"build, ibldu"
Five-Letter,"river, irevr"
Five-Letter,"speak, kpsea"
Five-Letter,"write, tiwre"
Five-Letter,"eight, hegti"
Five-Letter,"funny, yufnn"
Five-Letter,"track, tackr"
Five-Letter,"album, bluam"
Five-Letter,"peace, aceep"
Five-Letter,"store, troes"
Five-Letter,"brown, rnwbo"
Five-Letter,"moved, vmdeo"
Five-Letter,"ahead, eaadh"
Five-Letter,"radio, oriad"
Five-Letter,"allow, lowal"
Five-Letter,"cross, scsor"
Five-Letter,"loved, oldev"
Five-Letter,"speed, eesdp"
Five-Letter,"focus, cuofs"
Five-Letter,"jesus, jsuse"
Five-Letter,"extra, axtre"
Five-Letter,"quick, uckqi"
Five-Letter,"clean, clean"
Five-Letter,"scene, neecs"
Five-Letter,"agree, gaere"
Six-Letter,"degree, deerge"
Six-Letter,"france, naecfr"
Six-Letter,"active, iaecvt"
Six-Letter,"cancer, rnacec"
Six-Letter,"master, rmtase"
Six-Letter,"wonder, onderw"
Six-Letter,"russia, uaisrs"
Six-Letter,"secret, estcer"
Six-Letter,"latest, tletsa"
Six-Letter,"senior, onesri"
Six-Letter,"effort, foertf"
Six-Letter,"spring, ipsngr"
Six-Letter,"impact, ticamp"
Six-Letter,"africa, caifra"
Six-Letter,"sunday, nsyaud"
Six-Letter,"direct, cdrite"
Six-Letter,"indian, anniid"
Six-Letter,"easily, easyil"
Six-Letter,"finish, ifnihs"
Six-Letter,"choose, oohces"
Six-Letter,"closed, eodcls"
Six-Letter,"damage, dmeaag"
Six-Letter,"doctor, cordto"
Six-Letter,"notice, teonci"
Six-Letter,"highly, gilyhh"
Six-Letter,"winter, ierwtn"
Six-Letter,"broken, oenbrk"
Six-Letter,"theory, yoreth"
Six-Letter,"advice, iadvec"
Six-Letter,"nation, oninta"
Six-Letter,"camera, acrema"
Six-Letter,"agency, aeyngc"
Six-Letter,"status, astuts"
Six-Letter,"murder, murder"
Six-Letter,"flight, gthifl"
Six-Letter,"google, leogog"
Six-Letter,"coffee, ffceoe"
Six-Letter,"actual, utlaac"
Six-Letter,"mobile, bolemi"
Six-Letter,"opened, eponde"
Six-Letter,"placed, ecdlap"
Six-Letter,"signed, esdign"
Six-Letter,"eating, tgeian"
Six-Letter,"screen, cerens"
Six-Letter,"speech, ceehsp"
